Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
carla	192	9	2	2	0	1	17.914	7.725
literary	192	4	2	2	0	1	21.893	8.895
man	226	24885	1	1	0	1	43.861	-4.708
im	226	27545	1	1	0	1	49.268	-4.855
jetzt	226	11432	1	1	0	1	17.074	-3.586
denn	226	15023	1	1	0	1	24.089	-3.980
aber	226	42540	1	1	0	1	80.056	-5.482
oder	226	15234	1	1	0	1	24.505	-4.000
es	226	72406	1	1	0	1	142.222	-6.249
ihnen	226	12782	1	1	0	1	19.693	-3.747
ist	226	47932	1	1	0	1	91.215	-5.654
haben	226	16161	1	1	0	1	26.339	-4.086
sehr	226	11609	1	1	0	1	17.416	-3.608
ihre	226	17958	1	1	0	1	29.914	-4.238
war	226	60927	1	1	0	1	118.237	-6.000
auch	226	26978	1	1	0	1	48.113	-4.825
wenn	226	26405	1	1	0	1	46.948	-4.794
diese	226	13774	1	1	0	1	21.632	-3.855
frau	226	11840	1	1	0	1	17.863	-3.637
